study_id,author,title,journal,year,volume,pages,doi
p105,"Barry, K.L. and White, T.E. and Rathnayake, D.N. and Fabricant, S.A. and Herberstein, M.E.",Sexual signals for the colour-blind: Cryptic female mantids signal quality through brightness,Functional Ecology,2015,29,531-539,10.1111/1365-2435.12363
p11,"Zirpoli, J. A. and Black, J. M. and Gabriel, P. O.",Parasites and plumage in Steller's jays: an experimental field test of the parasite-mediated handicap hypothesis,ETHOLOGY ECOLOGY \& EVOLUTION,2013,25,103-116,10.1080/03949370.2012.742462
p125,"Quinard, A. and Czilly, F. and Motreuil, S. and Rossi, J.-M. and Biard, C.","Reduced sexual dichromatism, mutual ornamentation, and individual quality in the monogamous Zenaida dove Zenaida aurita",Journal of Avian Biology,2017,48,489-501,10.1111/jav.00902
p129,"Schull and Quentin and Dobson, F. Stephen and Stier and Antoine and Robin and Jean-Patrice and Bize and Pierre and Viblanc and Vincent A.",Beak color dynamically signals changes in fasting status and parasite loads in king penguins,BEHAVIORAL ECOLOGY,2016,27,1684-1693,10.1093/beheco/arw091
p137,"Bajer, K. and Molnr, O. and Trk, J. and Herczeg, G.","Temperature, but not available energy, affects the expression of a sexually selected ultraviolet (UV) colour trait in male european green lizards",PLoS ONE,2012,7,NA,10.1371/journal.pone.0034359
p139,"Peters, A. and Delhey, K. and Goymann, W. and Kempenaers, B.",Age-dependent association between testosterone and crown UV coloration in male blue tits (Parus caeruleus),Behavioral Ecology and Sociobiology,2006,59,666-673,10.1007/s00265-005-0095-7
p153,Henderson and Lindsay J. and Heidinger and Britt J. and Evans and Neil P. and Arnold and Kathryn E.,Ultraviolet crown coloration in female blue tits predicts reproductive success and baseline corticosterone,BEHAVIORAL ECOLOGY,2013,24,1299-1305,10.1093/beheco/art066
p158,Nicolaus and Marion and Le Bohec and Celine and Nolan and Paul M. and Gauthier-Clerc and Michel and Le Maho and Yvon and Komdeur and Jan and Jouventin and Pierre,Ornamental colors reveal age in the king penguin,POLAR BIOLOGY,2007,31,53-61,10.1007/s00300-007-0332-9
p17,"Roberts, M.L. and Ras, E. and Peters, A.",Testosterone increases UV reflectance of sexually selected crown plumage in male blue tits,Behavioral Ecology,2009,20,535-541,10.1093/beheco/arp028
p199,"Keyser, A.J. and Hill, G.E.",Condition-dependent variation in the blue-ultraviolet coloration of a structurally based plumage ornament,Proceedings of the Royal Society B: Biological Sciences,1999,266,771-777,10.1098/rspb.1999.0704
