"effect","b","lci","uci","name","n","r","r.lci","r.uci"
"intrcpt",0.157291910767613,0.0835085885838286,0.231075232951398,"intercept model",186,0.156007447672936,0.0833150077084256,0.22704840455202
"variableage",0.0146997156419021,-0.118635899534435,0.148035330818239,"age",37,0.014698656953853,-0.118082435811024,0.146963355141152
"variablecondition",0.190502329618733,0.0987675768997782,0.282237082337687,"body condition",102,0.188230783310732,0.0984476647782584,0.274974284586276
"variableimmune",0.353488461372638,0.126137668173041,0.580839254572234,"immune function",11,0.339465652942956,0.12547291849999,0.523275149809724
"variableparasite",0.114516148872751,-0.0226247444002182,0.251657042145721,"parasite resistance",36,0.114018174586067,-0.0226208848128472,0.246475673302557
"variablebrightness",0.171449888750017,0.0793299742979847,0.263569803202049,"brightness",60,0.169789482285089,0.0791639778313642,0.257631447692593
"variablechroma",0.0760595746481508,-0.0289919481972128,0.181111097493514,"chroma",57,0.0759132435461364,-0.0289838280303289,0.179156516327155
"variablehue",0.224352647738369,0.123707862577249,0.324997432899489,"hue",50,0.220662724580547,0.12308064179815,0.314018611384199
"variablepca",0.119912113837416,-0.0559493138126974,0.295773541487529,"composite",19,0.119340664972477,-0.0558910069607756,0.287440079164435
"variablefemale",0.131447142445402,-0.00449654298166038,0.267390827872464,"female",29,0.130695275129577,-0.00449651267685633,0.261195330125731
"variablemale",0.161175898732906,0.0809384180604825,0.24141337940533,"male",146,0.159794592089915,0.0807621367076778,0.236830300311185
"variablezcombined",0.183476695937711,-0.0466532584470755,0.413606650322499,"not distinghusied",11,0.181445211775762,-0.0466194405375251,0.391530749372914
"variableexp",0.2158243132433,0.103818070791951,0.327830555694649,"experimental",52,0.212534552843976,0.103446681511213,0.316570089732225
"variableobs",0.128354933015446,0.0579705422970374,0.198739323733854,"observational",134,0.127654665385018,0.0579056911827416,0.196163455243562
"variable",0.150153746346974,0.00917168668923563,0.291135806004712,"iridescent (vs not)",67,0.149035368470529,0.00917142952429309,0.28317987311727
"variable",0.0712434553139204,-0.117538750054215,0.260025660682055,"included (vs not)",28,0.0711231643909834,-0.117000444650274,0.254319533772567
